external_gene_name	entrezgene
MT-ND1	4535
MT-ND2	4536
MT-CO1	4512
MT-CO2	4513
MT-ATP8	4509
MT-ATP6	4508
MT-CO3	4514
MT-ND3	4537
MT-ND4L	4539
MT-ND4	4538
MT-ND5	4540
MT-ND6	4541
MT-CYB	4519
AC003958.5	100505782
LINC00308	54143
CRLS1	54675
SEPHS1	22929
SLC16A13	201232
CDRT15P2	644694
SULT1B1	27284
MIR646HG	284757
MIR646HG	729296
LILRB4	11006
RRAS2	22800
SEMA3G	56920
SLC38A3	10991
REG1A	5967
LINC01167	103695432
AL590491.1	107987066
AC096570.1	105374322
CCIN	881
MYBPC3	4607
PABPN1L	390748
IL20RB	53833
MCRIP1	348262
EPHA2	1969
ZBTB34	403341
WWP2	11060
HAND2	9464
METTL21A	151194
TYW1B	441250
LINC01115	339822
AJ009632.2	101927745
AJ009632.2	105369302
POLG2	11232
LINC01166	101927590
LINC02026	647323
SPATA31A5	727905
CTSO	1519
ADO	84890
SHISA9	729993
LINC01168	399829
KIR2DS4	3809
SH2D6	284948
WNT7B	7477
HOXA11	3207
ANKRD18A	253650
NPIPB9	100507607
LINC01822	645949
LINC00443	100874173
MBOAT4	619373
LINC02028	285389
KRT37	8688
MKI67	4288
MAP2K3	5606
HMOX1	3162
LIMS2	55679
C2CD2	25966
KIR3DL2	3812
PNPLA4	8228
DEAF1	10522
DCTN6	10671
ZC3H3	23144
HOXA11-AS	221883
AC011752.1	100507562
SLC16A11	162515
RCL1	10171
C8orf87	389676
KRT31	3881
NEDD9	4739
SLC22A9	114571
GSTP1	2950
ABCA7	10347
DUOXA1	90527
FEV	54738
HAND2-AS1	79804
HCG23	414764
HCG23	101929163
PAXBP1	94104
LINC01085	152742
AC011900.1	101929570
REG1CP	5969
BTNL2	56244
GCA	25801
SLF2	55719
AC207056.1	100653049
LINC02087	101928567
LINC01939	101060385
BMP7	655
RCN2	5955
LSM14A	26065
CCDC34	91057
NCK1	4690
AC010307.2	105379181
POF1B	79983
CU633846.1	3806
CU633846.1	112267928
TRDMT1	1787
CACNG2	10369
DDX39B	7919
DDX39B	100532737
VCX2	51480
FSTL4	23105
TEX29	121793
ZNF595	152687
FAM201A	158228
ITGA11	22801
NSUN7	79730
HILPDA	29923
OR9A2	135924
LEPROTL1	23484
AC112484.1	653712
TUBB	203068
RPA1	6117
PHAX	51808
FAM95C	100289137
CCR8	1237
HMOX2	3163
LINC02337	105370369
METTL2B	55798
CAPN13	92291
HLA-DPB2	3116
AAMDC	28971
ZNF449	203523
NLRC5	84166
TUBB4A	10382
AL359878.2	101927762
OR6V1	346517
CCDC144A	9720
TAP1	6890
LINC01802	105373852
SNRPG	6637
KRT34	3885
DSC2	1824
OR6W1P	89883
AL450472.1	100506790
PIP	5304
CREB1	1385
IDI1	3422
SMIM10L2A	399668
PPP1R18	170954
