gene_symbol	original_cell_type	method	cell_type
CD28	T cells	mcp_counter	T cell
CD3D	T cells	mcp_counter	T cell
CD3G	T cells	mcp_counter	T cell
CD5	T cells	mcp_counter	T cell
CD6	T cells	mcp_counter	T cell
CHRM3-AS2	T cells	mcp_counter	T cell
CTLA4	T cells	mcp_counter	T cell
FLT3LG	T cells	mcp_counter	T cell
ICOS	T cells	mcp_counter	T cell
MAL	T cells	mcp_counter	T cell
MGC40069	T cells	mcp_counter	T cell
PBX4	T cells	mcp_counter	T cell
SIRPG	T cells	mcp_counter	T cell
THEMIS	T cells	mcp_counter	T cell
TNFRSF25	T cells	mcp_counter	T cell
TRAT1	T cells	mcp_counter	T cell
CD8B	CD8 T cells	mcp_counter	T cell CD8+
CD8A	Cytotoxic lymphocytes	mcp_counter	NA
EOMES	Cytotoxic lymphocytes	mcp_counter	NA
FGFBP2	Cytotoxic lymphocytes	mcp_counter	NA
GNLY	Cytotoxic lymphocytes	mcp_counter	NA
KLRC3	Cytotoxic lymphocytes	mcp_counter	NA
KLRC4	Cytotoxic lymphocytes	mcp_counter	NA
KLRD1	Cytotoxic lymphocytes	mcp_counter	NA
BANK1	B lineage	mcp_counter	B cell
CD19	B lineage	mcp_counter	B cell
CD22	B lineage	mcp_counter	B cell
CD79A	B lineage	mcp_counter	B cell
CR2	B lineage	mcp_counter	B cell
FCRL2	B lineage	mcp_counter	B cell
IGKC	B lineage	mcp_counter	B cell
MS4A1	B lineage	mcp_counter	B cell
PAX5	B lineage	mcp_counter	B cell
CD160	NK cells	mcp_counter	NK cell
KIR2DL1	NK cells	mcp_counter	NK cell
KIR2DL3	NK cells	mcp_counter	NK cell
KIR2DL4	NK cells	mcp_counter	NK cell
KIR3DL1	NK cells	mcp_counter	NK cell
KIR3DS1	NK cells	mcp_counter	NK cell
NCR1	NK cells	mcp_counter	NK cell
PTGDR	NK cells	mcp_counter	NK cell
SH2D1B	NK cells	mcp_counter	NK cell
ADAP2	Monocytic lineage	mcp_counter	Monocyte
ADAP2	Monocytic lineage	mcp_counter	Macrophage/Monocyte
CSF1R	Monocytic lineage	mcp_counter	Monocyte
CSF1R	Monocytic lineage	mcp_counter	Macrophage/Monocyte
FPR3	Monocytic lineage	mcp_counter	Monocyte
FPR3	Monocytic lineage	mcp_counter	Macrophage/Monocyte
KYNU	Monocytic lineage	mcp_counter	Monocyte
KYNU	Monocytic lineage	mcp_counter	Macrophage/Monocyte
PLA2G7	Monocytic lineage	mcp_counter	Monocyte
PLA2G7	Monocytic lineage	mcp_counter	Macrophage/Monocyte
RASSF4	Monocytic lineage	mcp_counter	Monocyte
RASSF4	Monocytic lineage	mcp_counter	Macrophage/Monocyte
TFEC	Monocytic lineage	mcp_counter	Monocyte
TFEC	Monocytic lineage	mcp_counter	Macrophage/Monocyte
CD1A	Myeloid dendritic cells	mcp_counter	Dendritic cell
CD1B	Myeloid dendritic cells	mcp_counter	Dendritic cell
CD1E	Myeloid dendritic cells	mcp_counter	Dendritic cell
CLEC10A	Myeloid dendritic cells	mcp_counter	Dendritic cell
CLIC2	Myeloid dendritic cells	mcp_counter	Dendritic cell
WFDC21P	Myeloid dendritic cells	mcp_counter	Dendritic cell
CA4	Neutrophils	mcp_counter	Neutrophil
CEACAM3	Neutrophils	mcp_counter	Neutrophil
CXCR1	Neutrophils	mcp_counter	Neutrophil
CXCR2	Neutrophils	mcp_counter	Neutrophil
CYP4F3	Neutrophils	mcp_counter	Neutrophil
FCGR3B	Neutrophils	mcp_counter	Neutrophil
HAL	Neutrophils	mcp_counter	Neutrophil
KCNJ15	Neutrophils	mcp_counter	Neutrophil
MEGF9	Neutrophils	mcp_counter	Neutrophil
SLC25A37	Neutrophils	mcp_counter	Neutrophil
STEAP4	Neutrophils	mcp_counter	Neutrophil
TECPR2	Neutrophils	mcp_counter	Neutrophil
TLE3	Neutrophils	mcp_counter	Neutrophil
TNFRSF10C	Neutrophils	mcp_counter	Neutrophil
VNN3	Neutrophils	mcp_counter	Neutrophil
ACVRL1	Endothelial cells	mcp_counter	Endothelial cell
APLN	Endothelial cells	mcp_counter	Endothelial cell
BCL6B	Endothelial cells	mcp_counter	Endothelial cell
BMP6	Endothelial cells	mcp_counter	Endothelial cell
BMX	Endothelial cells	mcp_counter	Endothelial cell
CDH5	Endothelial cells	mcp_counter	Endothelial cell
CLEC14A	Endothelial cells	mcp_counter	Endothelial cell
CXorf36	Endothelial cells	mcp_counter	Endothelial cell
EDN1	Endothelial cells	mcp_counter	Endothelial cell
ELTD1	Endothelial cells	mcp_counter	Endothelial cell
EMCN	Endothelial cells	mcp_counter	Endothelial cell
ESAM	Endothelial cells	mcp_counter	Endothelial cell
ESM1	Endothelial cells	mcp_counter	Endothelial cell
FAM124B	Endothelial cells	mcp_counter	Endothelial cell
HECW2	Endothelial cells	mcp_counter	Endothelial cell
HHIP	Endothelial cells	mcp_counter	Endothelial cell
KDR	Endothelial cells	mcp_counter	Endothelial cell
MMRN1	Endothelial cells	mcp_counter	Endothelial cell
MMRN2	Endothelial cells	mcp_counter	Endothelial cell
MYCT1	Endothelial cells	mcp_counter	Endothelial cell
PALMD	Endothelial cells	mcp_counter	Endothelial cell
PEAR1	Endothelial cells	mcp_counter	Endothelial cell
PGF	Endothelial cells	mcp_counter	Endothelial cell
PLXNA2	Endothelial cells	mcp_counter	Endothelial cell
PTPRB	Endothelial cells	mcp_counter	Endothelial cell
ROBO4	Endothelial cells	mcp_counter	Endothelial cell
SDPR	Endothelial cells	mcp_counter	Endothelial cell
SHANK3	Endothelial cells	mcp_counter	Endothelial cell
SHE	Endothelial cells	mcp_counter	Endothelial cell
TEK	Endothelial cells	mcp_counter	Endothelial cell
TIE1	Endothelial cells	mcp_counter	Endothelial cell
VEPH1	Endothelial cells	mcp_counter	Endothelial cell
VWF	Endothelial cells	mcp_counter	Endothelial cell
COL1A1	Fibroblasts	mcp_counter	Cancer associated fibroblast
COL3A1	Fibroblasts	mcp_counter	Cancer associated fibroblast
COL6A1	Fibroblasts	mcp_counter	Cancer associated fibroblast
